case_name,cell_index,execution_count,previous_execution_count,was_executed,out_of_order,source_length,line_count,has_import,has_fit,has_predict,has_drop,has_remove,has_transform,has_split,has_dataframe,has_gpu_keyword,source_changed_in_fixed,label
NBspecific_4,34,-1,-1,0,0,31,1,0,0,1,0,0,0,0,0,0,0,0
NBspecific_4,35,-1,-1,0,0,105,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_5,1,-1,-1,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_5,2,1,-1,1,0,176,8,1,0,0,0,0,0,0,0,0,0,0
NBspecific_5,3,2,1,1,0,50,2,0,0,0,0,0,0,0,1,0,0,0
NBspecific_5,4,-1,2,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_5,5,-1,-1,0,0,591,18,0,0,0,0,0,0,0,1,0,0,0
NBspecific_5,6,-1,-1,0,0,34,1,0,0,0,0,0,0,0,1,0,0,0
NBspecific_5,7,-1,-1,0,0,28,1,0,0,0,0,0,0,0,1,0,0,0
NBspecific_5,8,-1,-1,0,0,128,2,0,0,0,0,0,0,0,1,0,0,0
NBspecific_5,9,-1,-1,0,0,25,1,0,0,0,0,0,0,0,1,0,0,0
NBspecific_5,10,-1,-1,0,0,237,7,0,0,0,0,0,0,0,0,0,0,0
NBspecific_5,11,3,-1,1,0,284,10,0,0,0,0,0,0,0,1,0,0,0
NBspecific_5,12,-1,3,0,0,319,9,0,0,0,0,0,0,0,1,0,0,0
NBspecific_5,13,-1,-1,0,0,281,7,0,0,0,0,0,0,0,0,0,0,0
NBspecific_5,14,-1,-1,0,0,97,3,0,0,0,0,0,0,0,0,0,0,0
NBspecific_5,15,5,-1,1,0,274,6,0,0,0,1,1,0,0,0,0,1,1
NBspecific_5,16,-1,5,0,0,1035,33,1,0,0,0,0,1,0,1,0,0,0
NBspecific_5,17,-1,-1,0,0,401,13,1,0,0,0,0,1,0,1,0,0,0
NBspecific_5,18,-1,-1,0,0,461,9,1,0,0,0,0,0,0,0,0,0,0
NBspecific_5,19,-1,-1,0,0,1056,32,1,0,0,0,0,1,1,1,0,0,0
NBspecific_5,20,-1,-1,0,0,542,19,0,0,0,0,0,0,0,0,0,0,0
NBspecific_5,21,-1,-1,0,0,451,6,1,1,0,0,0,0,0,0,0,0,0
NBspecific_5,22,-1,-1,0,0,504,15,1,0,1,0,0,0,0,0,0,0,0
NBspecific_5,23,-1,-1,0,0,693,19,1,0,1,0,0,0,0,0,0,0,0
